name,url,role
Andi Kur,https://www.instagram.com/andi_kur_art/?hl=en,
Azalea Guerra García,http://www.fciencias.unam.mx/directorio/57770,
Kelly Dawe,http://www.dawelab.org,\
Rute Fonseca,http://rutefonseca.wix.com/bioinformatics,
Eric Fuchs,https://sites.google.com/site/ejfuchs/,
Peter Morrell,http://faculty.agronomy.cfans.umn.edu/pmorrell/,
Chad Niederhuth,http://niederhuthlab.com,
Ginnie Morrison,http://www.panzea.org/#!ginnie-morrison/c1lov,
Markus Stetter,http://mstetter.github.io,
Sivan Yair,https://scholar.google.com/citations?user=Ru46Ih4AAAAJ&hl=en,
